Disease,dataset,n_genes_total,n_genes_with_pubmed,coverage_pubmed,median_pubmed,mean_pubmed,p90_pubmed,gini_pubmed,median_rank,frac_in_top500,frac_in_top2000,frac_in_top10000,top_genes
Juvenile myoclonic epilepsy,knowledge_filtered,5,5,1.0,56.0,73.4,121.80000000000001,0.28119891008174386,8218.0,0.0,0.0,0.8,GABRA1(157); CLCN2(69); EFHC1(56); CACNB4(45); GABRD(40)
Distal arthrogryposis type 2B,knowledge_filtered,4,4,1.0,56.0,80.25,132.40000000000003,0.2811526479750779,8333.0,0.0,0.0,1.0,TPM2(163); MYH3(61); TNNI2(51); TNNT3(46)
Fraser syndrome,knowledge_filtered,3,3,1.0,56.0,65.66666666666667,88.8,0.17935702199661593,8328.0,0.0,0.0,1.0,GRIP1(97); FRAS1(56); FREM2(44)
Saul-Wilson syndrome,knowledge_filtered,1,1,1.0,56.0,56.0,56.0,0.0,8255.0,0.0,0.0,1.0,COG4(56)
X-linked intellectual developmental disorder 109,knowledge_filtered,1,1,1.0,56.0,56.0,56.0,0.0,8337.0,0.0,0.0,1.0,AFF2(56)
Pontocerebellar hypoplasia,knowledge_filtered,10,10,1.0,55.5,67.7,123.69999999999999,0.27607090103397347,8345.0,0.0,0.0,0.7,VRK1(139); EXOSC3(122); CHMP1A(83); AMPD2(69); RARS2(58)
MHC class II deficiency,knowledge_filtered,4,4,1.0,55.0,92.75,177.40000000000003,0.39555256064690025,8671.5,0.0,0.25,0.5,CIITA(223); RFX5(71); RFXAP(39); RFXANK(38)
Hyperekplexia,knowledge_filtered,3,3,1.0,55.0,80.33333333333333,127.0,0.2876901798063624,8366.0,0.0,0.0,0.6666666666666666,GLRA1(145); GLRB(55); SLC6A5(41)
Glycine encephalopathy,knowledge_filtered,2,2,1.0,55.0,55.0,67.0,0.13636363636363646,8614.5,0.0,0.0,0.5,GLDC(70); AMT(40)
Mal de Meleda,knowledge_filtered,1,1,1.0,55.0,55.0,55.0,0.0,8421.0,0.0,0.0,1.0,SLURP1(55)
Canavan disease,knowledge_filtered,1,1,1.0,55.0,55.0,55.0,0.0,8377.0,0.0,0.0,1.0,ASPA(55)
Burn-McKeown syndrome,knowledge_filtered,1,1,1.0,55.0,55.0,55.0,0.0,8362.0,0.0,0.0,1.0,TXNL4A(55)
Congenital disorder of glycosylation type IIi,knowledge_filtered,1,1,1.0,55.0,55.0,55.0,0.0,8395.0,0.0,0.0,1.0,COG5(55)
Christianson syndrome,knowledge_filtered,1,1,1.0,55.0,55.0,55.0,0.0,8441.0,0.0,0.0,1.0,SLC9A6(55)
Schizoaffective disorder,knowledge_filtered,6,6,1.0,54.5,61.333333333333336,102.0,0.3260869565217391,8501.5,0.0,0.0,0.8333333333333334,GABRB3(141); GABRB1(63); GABRA5(60); GABRA4(49); GABRR1(45)
Hypotrichosis 6,knowledge_filtered,3,3,1.0,54.0,49.0,54.0,0.06802721088435366,8554.0,0.0,0.0,0.6666666666666666,LIPH(54); LPAR6(54); DSG4(39)
Vibratory urticaria,knowledge_filtered,1,1,1.0,54.0,54.0,54.0,0.0,8555.0,0.0,0.0,1.0,ADGRE2(54)
carnitine-acylcarnitine translocase deficiency,knowledge_filtered,1,1,1.0,54.0,54.0,54.0,0.0,8471.0,0.0,0.0,1.0,SLC25A20(54)
beta-mannosidosis,knowledge_filtered,1,1,1.0,54.0,54.0,54.0,0.0,8488.0,0.0,0.0,1.0,MANBA(54)
Erythrokeratodermia variabilis,knowledge_filtered,4,4,1.0,53.5,226.25,561.4000000000001,0.626243093922652,9391.0,0.25,0.25,0.5,GJA1(769); GJB3(77); GJB4(30); KRT83(29)
Dandy-Walker syndrome,knowledge_filtered,3,3,1.0,53.0,108.0,208.20000000000002,0.45884773662551437,8677.0,0.0,0.3333333333333333,0.6666666666666666,FOXC1(247); ZIC1(53); ZIC4(24)
Hereditary spastic paraplegia 35,knowledge_filtered,1,1,1.0,53.0,53.0,53.0,0.0,8595.0,0.0,0.0,1.0,FA2H(53)
Ethylmalonic encephalopathy,knowledge_filtered,1,1,1.0,53.0,53.0,53.0,0.0,8608.0,0.0,0.0,1.0,ETHE1(53)
Ornithine translocase deficiency,knowledge_filtered,1,1,1.0,53.0,53.0,53.0,0.0,8691.0,0.0,0.0,1.0,SLC25A15(53)
Mitochondrial DNA depletion syndrome 13,knowledge_filtered,1,1,1.0,53.0,53.0,53.0,0.0,8681.0,0.0,0.0,1.0,FBXL4(53)
3-methylglutaconic aciduria type 5,knowledge_filtered,1,1,1.0,53.0,53.0,53.0,0.0,8606.0,0.0,0.0,1.0,DNAJC19(53)
Refsum disease,knowledge_filtered,2,2,1.0,52.5,52.5,54.5,0.023809523809523725,8650.5,0.0,0.0,1.0,PHYH(55); PEX7(50)
Nephronophthisis,knowledge_filtered,22,22,1.0,52.0,59.08571428571429,91.80000000000001,0.2597402597402597,8728.0,0.0,0.0,0.5714285714285714,UMOD(200); CEP290(168); NPHP1(93); NPHP1(93); DCDC2(90)
Congenital stationary night blindness,knowledge_filtered,14,14,1.0,52.0,89.21428571428571,203.30000000000015,0.5276792862861718,8730.5,0.0,0.14285714285714285,0.6428571428571429,GNB3(430); RHO(245); GUCY2D(106); CACNA1F(80); TRPM1(61)
Mucopolysaccharidosis III,knowledge_filtered,4,4,1.0,52.0,50.75,58.300000000000004,0.08497536945812811,8748.0,0.0,0.0,0.75,NAGLU(61); GNS(52); SGSH(52); HGSNAT(38)
Hennekam syndrome,knowledge_filtered,2,2,1.0,52.0,52.0,60.0,0.09615384615384626,8922.5,0.0,0.0,0.5,FAT4(62); CCBE1(42)
histiocytosis-lymphadenopathy plus syndrome,knowledge_filtered,1,1,1.0,52.0,52.0,52.0,0.0,8797.0,0.0,0.0,1.0,SLC29A3(52)
Schindler disease,knowledge_filtered,1,1,1.0,52.0,52.0,52.0,0.0,8713.0,0.0,0.0,1.0,NAGA(52)
Pyridoxamine 5'-phosphate oxidase deficiency,knowledge_filtered,1,1,1.0,52.0,52.0,52.0,0.0,8752.0,0.0,0.0,1.0,PNPO(52)
Right atrial isomerism,knowledge_filtered,20,20,1.0,51.5,121.2,261.1000000000001,0.5556930693069307,8835.0,0.05,0.2,0.65,SMAD2(736); GATA4(325); NAT10(254); NKX2-5(225); NODAL(131)
Achromatopsia,knowledge_filtered,6,6,1.0,51.5,80.5,158.5,0.41442374051069697,8924.0,0.0,0.16666666666666666,0.6666666666666666,ATF6(237); CNGA3(80); CNGB3(59); GNAT2(44); PDE6C(38)
Familial isolated deficiency of vitamin E,knowledge_filtered,1,1,1.0,51.0,51.0,51.0,0.0,8915.0,0.0,0.0,1.0,TTPA(51)
Alkaptonuria,knowledge_filtered,1,1,1.0,51.0,51.0,51.0,0.0,8817.0,0.0,0.0,1.0,HGD(51)
Bardet-Biedl syndrome,knowledge_filtered,25,24,0.96,50.5,63.63157894736842,109.20000000000036,0.30061817073701624,8922.0,0.0,0.0,0.7105263157894737,TRIM32(174); TRIM32(174); CEP290(168); CEP290(168); BBS1(84)
Hermansky-Pudlak syndrome,knowledge_filtered,11,11,1.0,50.0,79.35,179.40000000000006,0.39410838059231257,9011.0,0.0,0.1,0.55,DTNBP1(219); DTNBP1(219); AP3D1(175); AP3B1(164); AP3B1(164)
"contractures, pterygia, and spondylocarpotarsal fusion syndrome",knowledge_filtered,4,4,1.0,50.0,52.5,69.5,0.15714285714285725,9163.0,0.0,0.0,0.5,CHRNA1(74); RAPSN(59); CHRND(41); CHRNG(36)
Mucolipidosis III gamma,knowledge_filtered,1,1,1.0,50.0,50.0,50.0,0.0,8970.0,0.0,0.0,1.0,GNPTG(50)
Carpenter syndrome,knowledge_filtered,2,2,1.0,49.5,49.5,61.9,0.15656565656565657,9462.5,0.0,0.0,0.5,RAB23(65); MEGF8(34)
Amelogenesis imperfecta,knowledge_filtered,31,31,1.0,49.0,65.06122448979592,144.40000000000003,0.4080992497375362,9087.0,0.0,0.0,0.5714285714285714,COL7A1(208); LAMC2(188); COL17A1(155); LAMB3(154); LAMB3(154)
Walker-Warburg syndrome,knowledge_filtered,13,13,1.0,49.0,58.61538461538461,88.80000000000001,0.31718150615788415,9152.0,0.0,0.0,0.6153846153846154,DAG1(177); FKRP(93); POMGNT1(72); FKTN(65); POMT1(59)
Congenital sucrase-isomaltase deficiency,knowledge_filtered,1,1,1.0,49.0,49.0,49.0,0.0,9082.0,0.0,0.0,1.0,SI(49)
Progressive myoclonus epilepsy 1B,knowledge_filtered,1,1,1.0,49.0,49.0,49.0,0.0,9216.0,0.0,0.0,1.0,PRICKLE1(49)
Arterial tortuosity syndrome,knowledge_filtered,1,1,1.0,49.0,49.0,49.0,0.0,9081.0,0.0,0.0,1.0,SLC2A10(49)
Fazio-Londe disease,knowledge_filtered,2,2,1.0,48.0,48.0,54.4,0.08333333333333326,9379.5,0.0,0.0,0.5,SLC52A3(56); SLC52A2(40)
3-methylglutaconic aciduria type 3,knowledge_filtered,1,1,1.0,48.0,48.0,48.0,0.0,9280.0,0.0,0.0,1.0,OPA3(48)
Optic atrophy 3,knowledge_filtered,1,1,1.0,48.0,48.0,48.0,0.0,9280.0,0.0,0.0,1.0,OPA3(48)
Autosomal dominant intellectual developmental disorder 43,knowledge_filtered,1,1,1.0,48.0,48.0,48.0,0.0,9335.0,0.0,0.0,1.0,HIVEP2(48)
Microphthalmia with limb anomalies,knowledge_filtered,1,1,1.0,47.0,47.0,47.0,0.0,9381.0,0.0,0.0,1.0,SMOC1(47)
Hereditary spastic paraplegia 31,knowledge_filtered,1,1,1.0,47.0,47.0,47.0,0.0,9377.0,0.0,0.0,1.0,REEP1(47)
Guanidinoacetate methyltransferase deficiency,knowledge_filtered,1,1,1.0,47.0,47.0,47.0,0.0,9426.0,0.0,0.0,1.0,GAMT(47)
Chromosome 15q13.3 microdeletion syndrome,knowledge_filtered,1,1,1.0,46.0,46.0,46.0,0.0,9576.0,0.0,0.0,1.0,AANAT(46)
Chromosome 15q24 deletion syndrome,knowledge_filtered,1,1,1.0,46.0,46.0,46.0,0.0,9576.0,0.0,0.0,1.0,AANAT(46)
Lysinuric protein intolerance,knowledge_filtered,1,1,1.0,46.0,46.0,46.0,0.0,9569.0,0.0,0.0,1.0,SLC7A7(46)
Molybdenum cofactor deficiency,knowledge_filtered,3,3,1.0,45.0,69.66666666666667,105.0,0.24242424242424235,9728.0,0.0,0.0,1.0,GPHN(120); MOCS1(45); MOCS2(44)
Congenital bile acid synthesis defect 2,knowledge_filtered,1,1,1.0,45.0,45.0,45.0,0.0,9674.0,0.0,0.0,1.0,AKR1D1(45)
Vici syndrome,knowledge_filtered,1,1,1.0,45.0,45.0,45.0,0.0,9786.0,0.0,0.0,1.0,EPG5(45)
