Disease,median_pubmed_filtered,mean_pubmed_filtered,n_genes_with_pubmed_filtered,coverage_filtered,median_pubmed_full,mean_pubmed_full,n_genes_with_pubmed_full,coverage_full,delta_median_full_minus_filtered,delta_mean_full_minus_filtered
APP-related cerebral amyloid angiopathy,646.0,1881.6,5.0,1.0,646.0,1881.6,5,1.0,0.0,0.0
Abetalipoproteinemia,477.0,516.5,4.0,1.0,477.0,516.5,4,1.0,0.0,0.0
Acatalasia,482.0,482.0,1.0,1.0,482.0,482.0,1,1.0,0.0,0.0
Aceruloplasminemia,234.0,234.0,1.0,1.0,234.0,234.0,1,1.0,0.0,0.0
Achondrogenesis,99.0,187.33333333333334,3.0,1.0,99.0,187.33333333333334,3,1.0,0.0,0.0
Achondroplasia,615.0,615.0,1.0,1.0,615.0,615.0,1,1.0,0.0,0.0
Achromatopsia,51.5,80.5,6.0,1.0,51.5,80.5,6,1.0,0.0,0.0
Acrocallosal syndrome,144.5,144.5,2.0,1.0,144.5,144.5,2,1.0,0.0,0.0
Acrocephalosyndactylia,711.0,711.0,1.0,1.0,711.0,463.42857142857144,6,1.0,0.0,-247.57142857142856
Acromicric dysplasia,526.0,526.0,1.0,1.0,526.0,526.0,1,1.0,0.0,0.0
Acute necrotizing encephalitis,366.0,366.0,1.0,1.0,366.0,366.0,1,1.0,0.0,0.0
Acute promyelocytic leukemia,338.0,459.42857142857144,7.0,1.0,338.0,459.42857142857144,7,1.0,0.0,0.0
Adams-Oliver syndrome,109.5,352.1666666666667,6.0,1.0,109.5,352.1666666666667,6,1.0,0.0,0.0
Adenine phosphoribosyltransferase deficiency,127.0,127.0,1.0,1.0,127.0,127.0,1,1.0,0.0,0.0
Apolipoprotein A-IV associated Amyloidosis,226.0,1854.3333333333333,3.0,1.0,226.0,1854.3333333333333,3,1.0,0.0,0.0
Apolipoprotein C-II associated Amyloidosis,187.0,1427.75,4.0,1.0,187.0,1427.75,4,1.0,0.0,0.0
Apolipoprotein C-III associated Amyloidosis,467.0,1431.2,5.0,1.0,467.0,1431.2,5,1.0,0.0,0.0
Bietti crystalline corneoretinal dystrophy,76.0,76.0,1.0,1.0,76.0,76.0,1,1.0,0.0,0.0
Baller-Gerold syndrome,137.0,137.0,1.0,1.0,137.0,137.0,1,1.0,0.0,0.0
Bannayan-Riley-Ruvalcaba syndrome,2819.0,2819.0,1.0,1.0,2819.0,2819.0,1,1.0,0.0,0.0
Baraitser-Winter syndrome,581.0,581.0,2.0,1.0,581.0,581.0,2,1.0,0.0,0.0
Bardet-Biedl syndrome,50.5,63.63157894736842,24.0,0.96,50.5,63.63157894736842,24,0.96,0.0,0.0
Bart-Pumphrey syndrome,860.0,860.0,1.0,1.0,860.0,860.0,1,1.0,0.0,0.0
Bartter disease,62.0,66.9090909090909,6.0,1.0,62.0,66.9090909090909,6,1.0,0.0,0.0
Basal cell carcinoma,289.5,353.1666666666667,6.0,1.0,289.5,353.1666666666667,6,1.0,0.0,0.0
Beare-Stevenson cutis gyrata syndrome,711.0,711.0,1.0,1.0,711.0,711.0,1,1.0,0.0,0.0
Beckwith-Wiedemann syndrome,410.5,433.5,4.0,1.0,410.5,433.5,4,1.0,0.0,0.0
Behcet's disease,304.0,860.6666666666666,3.0,1.0,304.0,860.6666666666666,3,1.0,0.0,0.0
Benign neonatal seizures,143.0,143.0,2.0,1.0,143.0,143.0,2,1.0,0.0,0.0
Benign recurrent intrahepatic cholestasis,131.0,131.0,2.0,1.0,131.0,131.0,2,1.0,0.0,0.0
Bernard-Soulier syndrome,88.0,172.66666666666666,3.0,1.0,88.0,172.66666666666666,3,1.0,0.0,0.0
Beta thalassemia,871.0,871.0,1.0,1.0,871.0,871.0,1,1.0,0.0,0.0
Biotinidase deficiency,66.0,66.0,1.0,1.0,66.0,66.0,1,1.0,0.0,0.0
Argininosuccinic aciduria,62.0,62.0,1.0,1.0,62.0,62.0,1,1.0,0.0,0.0
Birk-Barel syndrome,91.0,91.0,1.0,1.0,91.0,91.0,1,1.0,0.0,0.0
Bjornstad syndrome,78.0,78.0,1.0,1.0,78.0,78.0,1,1.0,0.0,0.0
Blau syndrome,1001.0,1001.0,1.0,1.0,1001.0,1001.0,1,1.0,0.0,0.0
Blepharocheilodontic syndrome,1341.5,1341.5,2.0,1.0,1341.5,1341.5,2,1.0,0.0,0.0
Bloch-Sulzberger syndrome,559.0,559.0,1.0,1.0,559.0,559.0,1,1.0,0.0,0.0
Bloom syndrome,385.0,385.0,1.0,1.0,385.0,385.0,1,1.0,0.0,0.0
Boomerang dysplasia,259.0,259.0,1.0,1.0,259.0,259.0,1,1.0,0.0,0.0
Borst-Jadassohn intraepidermal carcinoma,316.0,398.2,5.0,1.0,316.0,398.2,5,1.0,0.0,0.0
Boucher-Neuhauser syndrome,115.0,115.0,1.0,1.0,115.0,115.0,1,1.0,0.0,0.0
Bowen-Conradi syndrome,101.0,101.0,1.0,1.0,101.0,101.0,1,1.0,0.0,0.0
Bradyopsia,26.0,26.0,2.0,1.0,26.0,26.0,2,1.0,0.0,0.0
Brain small vessel disease 1,261.0,261.0,1.0,1.0,261.0,261.0,1,1.0,0.0,0.0
Branchiooculofacial syndrome,295.0,295.0,1.0,1.0,295.0,295.0,1,1.0,0.0,0.0
Branchiootic syndrome,109.0,109.66666666666667,3.0,1.0,109.0,109.66666666666667,3,1.0,0.0,0.0
Axenfeld-Rieger syndrome,236.5,236.5,2.0,1.0,236.5,236.5,2,1.0,0.0,0.0
Autosomal recessive spinocerebellar ataxia 8,163.0,163.0,1.0,1.0,163.0,163.0,1,1.0,0.0,0.0
Autosomal recessive distal hereditary motor neuronopathy 1,77.0,77.0,1.0,1.0,77.0,77.0,1,1.0,0.0,0.0
Autosomal recessive congenital ichthyosis 4B,62.0,62.0,1.0,1.0,62.0,62.0,1,1.0,0.0,0.0
Aromatase excess syndrome,833.0,833.0,1.0,1.0,833.0,833.0,1,1.0,0.0,0.0
Aromatic L-amino acid decarboxylase deficiency,138.0,138.0,1.0,1.0,138.0,138.0,1,1.0,0.0,0.0
Arrhythmogenic right ventricular cardiomyopathy,263.0,314.53846153846155,13.0,1.0,263.0,314.53846153846155,13,1.0,0.0,0.0
Arterial calcification of infancy,214.5,214.5,2.0,1.0,214.5,214.5,2,1.0,0.0,0.0
Arterial tortuosity syndrome,49.0,49.0,1.0,1.0,49.0,49.0,1,1.0,0.0,0.0
Arts syndrome,179.0,179.0,1.0,1.0,179.0,179.0,1,1.0,0.0,0.0
Aspartylglucosaminuria,69.0,69.0,1.0,1.0,69.0,69.0,1,1.0,0.0,0.0
Asphyxiating thoracic dystrophy,42.0,47.55555555555556,9.0,0.8181818181818182,42.0,47.0,9,0.8181818181818182,0.0,-0.5555555555555571
Asthma,98.5,157.91666666666666,12.0,1.0,98.5,157.91666666666666,12,1.0,0.0,0.0
Ataxia telangiectasia,1572.0,1572.0,1.0,1.0,1572.0,1572.0,1,1.0,0.0,0.0
Atherosclerosis,610.0,539.0,8.0,1.0,610.0,539.0,8,1.0,0.0,0.0
Atopic dermatitis,298.0,298.0,2.0,1.0,298.0,298.0,2,1.0,0.0,0.0
Atrial heart septal defect,153.5,164.5,8.0,1.0,153.5,164.5,8,1.0,0.0,0.0
Atypical hemolytic-uremic syndrome,253.0,381.14285714285717,7.0,1.0,253.0,381.14285714285717,7,1.0,0.0,0.0
Atypical teratoid rhabdoid tumor,641.5,641.5,2.0,1.0,641.5,641.5,2,1.0,0.0,0.0
Autism spectrum disorder,133.0,223.9,40.0,1.0,133.0,223.9,40,1.0,0.0,0.0
Autoimmune lymphoproliferative syndrome,703.0,1246.111111111111,9.0,1.0,703.0,1246.111111111111,9,1.0,0.0,0.0
Autoimmune polyendocrine syndrome type 1,225.0,225.0,1.0,1.0,225.0,225.0,1,1.0,0.0,0.0
Autoimmune thyroiditis,879.0,1083.8333333333333,6.0,1.0,879.0,1083.8333333333333,6,1.0,0.0,0.0
Autosomal dominant distal hereditary motor neuronopathy 2,96.5,255.0,4.0,1.0,96.5,255.0,4,1.0,0.0,0.0
Autosomal dominant distal hereditary motor neuronopathy 5,134.0,121.66666666666667,3.0,1.0,134.0,121.66666666666667,3,1.0,0.0,0.0
Autosomal dominant familial periodic fever,304.0,398.0,3.0,1.0,304.0,398.0,3,1.0,0.0,0.0
Autosomal dominant hypocalcemia,360.0,360.0,2.0,1.0,360.0,360.0,2,1.0,0.0,0.0
Autosomal dominant intellectual developmental disorder 29,86.0,86.0,1.0,1.0,86.0,86.0,1,1.0,0.0,0.0
Autosomal dominant intellectual developmental disorder 35,123.0,123.0,1.0,1.0,123.0,123.0,1,1.0,0.0,0.0
Autosomal dominant intellectual developmental disorder 43,48.0,48.0,1.0,1.0,48.0,48.0,1,1.0,0.0,0.0
Autosomal dominant intellectual developmental disorder 5,83.0,83.0,1.0,1.0,83.0,83.0,1,1.0,0.0,0.0
Autosomal dominant nocturnal frontal lobe epilepsy,77.0,103.0,9.0,1.0,77.0,103.0,9,1.0,0.0,0.0
Autosomal dominant vitreoretinochoroidopathy,196.0,196.0,1.0,1.0,196.0,196.0,1,1.0,0.0,0.0
DOORS syndrome,61.0,61.0,1.0,1.0,61.0,61.0,1,1.0,0.0,0.0
D-bifunctional protein deficiency,203.0,203.0,1.0,1.0,203.0,203.0,1,1.0,0.0,0.0
Danon disease,277.0,277.0,1.0,1.0,277.0,277.0,1,1.0,0.0,0.0
Hereditary hemorrhagic telangiectasia,363.5,445.25,4.0,1.0,363.5,445.25,4,1.0,0.0,0.0
Hereditary sensory and autonomic neuropathy type 2,160.5,154.75,4.0,1.0,160.5,154.75,4,1.0,0.0,0.0
Hereditary sensory and autonomic neuropathy type 1A,160.0,160.0,1.0,1.0,160.0,160.0,1,1.0,0.0,0.0
Hereditary neuropathy with liability to pressure palsies,231.0,231.0,1.0,1.0,231.0,231.0,1,1.0,0.0,0.0
Hereditary multiple exostoses,144.5,144.5,2.0,1.0,144.5,144.5,2,1.0,0.0,0.0
Hereditary lysozyme Amyloidosis,194.0,194.0,1.0,1.0,194.0,194.0,1,1.0,0.0,0.0
Hereditary lymphedema I,286.0,286.0,1.0,1.0,286.0,286.0,1,1.0,0.0,0.0
Hereditary folate malabsorption,94.0,94.0,1.0,1.0,94.0,94.0,1,1.0,0.0,0.0
Glaucoma,176.0,211.4,15.0,1.0,176.0,211.4,15,1.0,0.0,0.0
Hereditary fibrinogen A alpha-chain Amyloidosis,422.0,422.0,1.0,1.0,422.0,422.0,1,1.0,0.0,0.0
Hereditary elliptocytosis,149.0,147.625,8.0,1.0,149.0,147.625,8,1.0,0.0,0.0
Hereditary diffuse gastric cancer,1267.0,1267.0,2.0,1.0,1267.0,1267.0,2,1.0,0.0,0.0
Hereditary beta-2-microglobulin-related Amyloidosis,471.0,471.0,1.0,1.0,471.0,471.0,1,1.0,0.0,0.0
Hereditary angioedema,228.0,226.57142857142858,7.0,1.0,228.0,226.57142857142858,7,1.0,0.0,0.0
Hepatic venoocclusive disease with immunodeficiency,73.0,73.0,1.0,1.0,73.0,73.0,1,1.0,0.0,0.0
Hereditary sensory and autonomic neuropathy type 5,412.0,412.0,1.0,1.0,412.0,412.0,1,1.0,0.0,0.0
Hereditary sensory neuropathy type 1E,877.0,877.0,1.0,1.0,877.0,877.0,1,1.0,0.0,0.0
Hereditary spastic paraplegia 11,111.0,111.0,1.0,1.0,111.0,111.0,1,1.0,0.0,0.0
Hereditary spastic paraplegia 15,42.0,42.0,1.0,1.0,42.0,42.0,1,1.0,0.0,0.0
Hereditary spastic paraplegia 17,134.0,134.0,1.0,1.0,134.0,134.0,1,1.0,0.0,0.0
Hereditary spastic paraplegia 2,192.0,192.0,1.0,1.0,192.0,192.0,1,1.0,0.0,0.0
Hereditary spastic paraplegia 31,47.0,47.0,1.0,1.0,47.0,47.0,1,1.0,0.0,0.0
Hereditary spastic paraplegia 35,53.0,53.0,1.0,1.0,53.0,53.0,1,1.0,0.0,0.0
Hereditary spastic paraplegia 3A,132.0,132.0,1.0,1.0,132.0,132.0,1,1.0,0.0,0.0
Hereditary spastic paraplegia 49,29.0,29.0,1.0,1.0,29.0,29.0,1,1.0,0.0,0.0
Hereditary spastic paraplegia 5A,68.0,68.0,1.0,1.0,68.0,68.0,1,1.0,0.0,0.0
Hereditary spastic paraplegia 7,98.0,98.0,1.0,1.0,98.0,98.0,1,1.0,0.0,0.0
Hereditary spastic paraplegia 8,84.0,84.0,1.0,1.0,84.0,84.0,1,1.0,0.0,0.0
Hereditary spherocytosis,134.0,158.2,5.0,1.0,134.0,158.2,5,1.0,0.0,0.0
Hermansky-Pudlak syndrome,50.0,79.35,11.0,1.0,50.0,79.35,11,1.0,0.0,0.0
Herpes zoster,1667.0,1770.4285714285713,7.0,1.0,1667.0,1770.4285714285713,7,1.0,0.0,0.0
Hidradenitis suppurativa,201.0,392.0,3.0,1.0,201.0,392.0,3,1.0,0.0,0.0
Hennekam syndrome,52.0,52.0,2.0,1.0,52.0,52.0,2,1.0,0.0,0.0
Hemophagocytic lymphohistiocytosis,93.0,128.66666666666666,3.0,1.0,93.0,128.66666666666666,3,1.0,0.0,0.0
Hemochromatosis,208.0,380.8,5.0,1.0,208.0,352.0,5,1.0,0.0,-28.80000000000001
Gordon Holmes syndrome,91.5,91.5,2.0,1.0,91.5,91.5,2,1.0,0.0,0.0
Glutamate formiminotransferase deficiency,30.0,30.0,1.0,1.0,30.0,30.0,1,1.0,0.0,0.0
Degenerative disc disease,176.0,710.4615384615385,13.0,1.0,176.0,710.4615384615385,13,1.0,0.0,0.0
Glutaric acidemia I,116.0,116.0,1.0,1.0,116.0,116.0,1,1.0,0.0,0.0
Glutathione synthetase deficiency,74.0,74.0,1.0,1.0,74.0,74.0,1,1.0,0.0,0.0
Glycine encephalopathy,55.0,55.0,2.0,1.0,55.0,55.0,2,1.0,0.0,0.0
Glycogen storage disease I,77.0,77.0,1.0,0.5,77.0,77.0,1,0.5,0.0,0.0
Glycogen storage disease II,207.0,207.0,1.0,1.0,207.0,207.0,1,1.0,0.0,0.0
Glycogen storage disease III,109.0,109.0,1.0,1.0,109.0,109.0,1,1.0,0.0,0.0
Glycogen storage disease IV,87.0,87.0,1.0,1.0,87.0,87.0,1,1.0,0.0,0.0
Glycogen storage disease V,103.0,103.0,1.0,1.0,103.0,103.0,1,1.0,0.0,0.0
Glycogen storage disease VI,113.0,113.0,1.0,1.0,113.0,113.0,1,1.0,0.0,0.0
Glycogen storage disease VII,166.0,166.0,1.0,1.0,166.0,166.0,1,1.0,0.0,0.0
Glycoproteinosis,107.0,105.5,4.0,1.0,107.0,105.5,4,1.0,0.0,0.0
Gnathodiaphyseal dysplasia,68.0,68.0,1.0,1.0,68.0,68.0,1,1.0,0.0,0.0
Gout,219.0,320.1666666666667,6.0,1.0,219.0,320.1666666666667,6,1.0,0.0,0.0
Helsmoortel-Van Der Aa Syndrome,158.0,158.0,1.0,1.0,158.0,158.0,1,1.0,0.0,0.0
Granular corneal dystrophy 2,319.0,319.0,1.0,1.0,319.0,319.0,1,1.0,0.0,0.0
Granulomatosis with polyangiitis,428.0,428.0,1.0,1.0,428.0,428.0,1,1.0,0.0,0.0
Graves' disease,581.5,827.75,8.0,1.0,581.5,827.75,8,1.0,0.0,0.0
Gray platelet syndrome,59.0,59.0,2.0,1.0,59.0,59.0,2,1.0,0.0,0.0
Greenberg dysplasia,229.0,229.0,1.0,1.0,229.0,229.0,1,1.0,0.0,0.0
Greig cephalopolysyndactyly syndrome,217.0,217.0,1.0,1.0,217.0,217.0,1,1.0,0.0,0.0
Griscelli syndrome,178.0,138.0,3.0,1.0,178.0,138.0,3,1.0,0.0,0.0
Guanidinoacetate methyltransferase deficiency,47.0,47.0,1.0,1.0,47.0,47.0,1,1.0,0.0,0.0
Guillain-Barre syndrome,6439.0,6439.0,1.0,1.0,6439.0,6439.0,1,1.0,0.0,0.0
Gyrate atrophy,160.0,160.0,1.0,1.0,160.0,160.0,1,1.0,0.0,0.0
Hailey-Hailey disease,155.0,155.0,1.0,1.0,155.0,155.0,1,1.0,0.0,0.0
Hajdu-Cheney syndrome,383.0,383.0,1.0,1.0,383.0,383.0,1,1.0,0.0,0.0
Hartnup disease,32.0,32.0,1.0,1.0,32.0,32.0,1,1.0,0.0,0.0
Head and neck squamous cell carcinoma,1717.0,3055.4285714285716,7.0,1.0,1717.0,3055.4285714285716,7,1.0,0.0,0.0
High myopia-sensorineural deafness syndrome,27.0,27.0,1.0,1.0,27.0,27.0,1,1.0,0.0,0.0
Hirschsprung's disease,230.0,267.95,14.0,1.0,230.0,267.95,14,1.0,0.0,0.0
Histidinemia,41.0,41.0,1.0,1.0,41.0,41.0,1,1.0,0.0,0.0
Jackson-Weiss syndrome,711.0,711.0,1.0,1.0,711.0,711.0,1,1.0,0.0,0.0
Immunodeficiency 23,85.0,85.0,1.0,1.0,85.0,85.0,1,1.0,0.0,0.0
Immunodeficiency 48,384.0,384.0,1.0,1.0,384.0,384.0,1,1.0,0.0,0.0
Immunoglobulin Light-chain Amyloidosis,211.0,1305.4,5.0,1.0,211.0,1305.4,5,1.0,0.0,0.0
Inclusion body myopathy with Paget disease of bone and frontotemporal dementia,587.0,650.6666666666666,3.0,1.0,587.0,650.6666666666666,3,1.0,0.0,0.0
Interstitial lung disease 1,139.0,647.32,25.0,1.0,139.0,647.32,25,1.0,0.0,0.0
Intestinal pseudo-obstruction,151.0,238.0,5.0,1.0,151.0,238.0,5,1.0,0.0,0.0
Intrahepatic cholestasis of pregnancy,174.0,223.4,5.0,1.0,174.0,223.4,5,1.0,0.0,0.0
Isolated Atrial Amyloidosis,301.0,301.0,1.0,1.0,301.0,301.0,1,1.0,0.0,0.0
Isolated ectopia lentis,289.5,289.5,2.0,1.0,289.5,289.5,2,1.0,0.0,0.0
Isolated elevated serum creatine phosphokinase levels,149.0,149.0,1.0,1.0,149.0,149.0,1,1.0,0.0,0.0
Isolated growth hormone deficiency,373.0,318.6666666666667,3.0,1.0,373.0,318.6666666666667,3,1.0,0.0,0.0
Isolated hyperchlorhidrosis,73.0,73.0,1.0,1.0,73.0,73.0,1,1.0,0.0,0.0
Isolated sulfite oxidase deficiency,59.0,59.0,1.0,1.0,59.0,59.0,1,1.0,0.0,0.0
Isovaleric acidemia,67.0,67.0,1.0,1.0,67.0,67.0,1,1.0,0.0,0.0
Jacobsen Syndrome,75.0,166.8,5.0,1.0,75.0,166.8,5,1.0,0.0,0.0
Immune dysregulation-polyendocrinopathy-enteropathy-X-linked syndrome,1169.0,1169.0,1.0,1.0,1169.0,1169.0,1,1.0,0.0,0.0
Jervell-Lange Nielsen syndrome,437.0,437.0,2.0,1.0,437.0,437.0,2,1.0,0.0,0.0
Joubert syndrome,43.0,50.27272727272727,33.0,0.9705882352941176,43.0,50.27272727272727,33,0.9705882352941176,0.0,0.0
Junctional epidermolysis bullosa with pyloric atresia,335.0,339.3333333333333,3.0,1.0,335.0,339.3333333333333,3,1.0,0.0,0.0
Juvenile myoclonic epilepsy,56.0,73.4,5.0,1.0,56.0,73.4,5,1.0,0.0,0.0
Juvenile polyposis syndrome,558.0,558.0,2.0,1.0,558.0,558.0,2,1.0,0.0,0.0
Juvenile rheumatoid arthritis,555.5,1102.5357142857142,28.0,1.0,555.5,1102.5357142857142,28,1.0,0.0,0.0
KBG syndrome,93.0,93.0,1.0,1.0,93.0,93.0,1,1.0,0.0,0.0
Kabuki syndrome,248.5,248.5,2.0,1.0,248.5,248.5,2,1.0,0.0,0.0
2-hydroxyglutaric aciduria,134.0,204.0,4.0,1.0,134.0,204.0,4,1.0,0.0,0.0
Kaufman oculocerebrofacial syndrome,43.0,43.0,1.0,1.0,43.0,43.0,1,1.0,0.0,0.0
Kawasaki disease,41.0,41.0,1.0,1.0,41.0,41.0,1,1.0,0.0,0.0
Kennedy's disease,2708.0,2708.0,1.0,1.0,2708.0,2708.0,1,1.0,0.0,0.0
Keratoconus,167.5,339.6666666666667,18.0,0.9473684210526315,167.5,339.6666666666667,18,0.9473684210526315,0.0,0.0
Keratosis follicularis,444.0,444.0,1.0,1.0,444.0,444.0,1,1.0,0.0,0.0
Immunodeficiency 14,551.5,551.5,2.0,1.0,551.5,551.5,2,1.0,0.0,0.0
Idiopathic juvenile osteoporosis,325.0,325.0,1.0,1.0,325.0,325.0,1,1.0,0.0,0.0
Holocarboxylase synthetase deficiency,71.0,71.0,1.0,1.0,71.0,71.0,1,1.0,0.0,0.0
Hyperphosphatasia with impaired intellectual development syndrome,23.0,25.333333333333332,3.0,1.0,23.0,25.333333333333332,3,1.0,0.0,0.0
Holoprosencephaly,118.0,207.28571428571428,15.0,0.9375,118.0,207.28571428571428,15,0.9375,0.0,0.0
Holt-Oram syndrome,160.0,160.0,1.0,1.0,160.0,160.0,1,1.0,0.0,0.0
Homocystinuria,458.0,1046.2,5.0,1.0,458.0,1046.2,5,1.0,0.0,0.0
Huntington's disease,793.0,793.0,1.0,1.0,793.0,793.0,1,1.0,0.0,0.0
Hyaline body myopathy,349.0,349.0,1.0,1.0,349.0,349.0,1,1.0,0.0,0.0
Hyaline fibromatosis syndrome,88.0,88.0,1.0,1.0,88.0,88.0,1,1.0,0.0,0.0
Hyper IgE recurrent infection syndrome 1,1857.0,1857.0,2.0,1.0,1857.0,1857.0,2,1.0,0.0,0.0
Hyperargininemia,275.0,275.0,1.0,1.0,275.0,275.0,1,1.0,0.0,0.0
Hyperekplexia,55.0,80.33333333333333,3.0,1.0,55.0,80.33333333333333,3,1.0,0.0,0.0
Hyperinsulinemic hypoglycemia,353.0,366.6666666666667,9.0,1.0,353.0,366.6666666666667,9,1.0,0.0,0.0
Hyperkalemic periodic paralysis,164.0,164.0,1.0,1.0,164.0,164.0,1,1.0,0.0,0.0
Hyperlysinemia,59.0,59.0,1.0,1.0,59.0,59.0,1,1.0,0.0,0.0
Hypermanganesemia with dystonia,76.0,76.0,2.0,1.0,76.0,76.0,2,1.0,0.0,0.0
Hypermethioninemia,80.0,126.0,3.0,1.0,80.0,126.0,3,1.0,0.0,0.0
Hyperphosphatemic familial tumoral calcinosis,529.0,423.3333333333333,3.0,1.0,529.0,423.3333333333333,3,1.0,0.0,0.0
ITM2B-related cerebral amyloid angiopathy 2,211.0,868.6923076923077,13.0,1.0,211.0,868.6923076923077,13,1.0,0.0,0.0
Hyperprolinemia,73.5,73.5,2.0,1.0,73.5,73.5,2,1.0,0.0,0.0
Hypertrichotic osteochondrodysplasia Cantu type,86.0,86.0,1.0,1.0,86.0,86.0,1,1.0,0.0,0.0
Hypochondroplasia,615.0,615.0,1.0,1.0,615.0,615.0,1,1.0,0.0,0.0
Hypohidrotic ectodermal dysplasia,77.0,81.75,4.0,1.0,77.0,81.75,4,1.0,0.0,0.0
Hypokalemic periodic paralysis,135.0,135.0,2.0,1.0,135.0,135.0,2,1.0,0.0,0.0
Hypomyelinating leukodystrophy 2,42.0,42.0,1.0,1.0,42.0,42.0,1,1.0,0.0,0.0
Hypomyelinating leukodystrophy 7,113.5,113.5,2.0,1.0,113.5,113.5,2,1.0,0.0,0.0
Hypophosphatasia,299.0,299.0,1.0,1.0,299.0,299.0,1,1.0,0.0,0.0
Hypophosphatemia,124.0,213.83333333333334,6.0,1.0,124.0,213.83333333333334,6,1.0,0.0,0.0
Hypotrichosis,81.0,126.5813953488372,43.0,1.0,81.0,174.0408163265306,45,1.0,0.0,47.4594209776934
Hypotrichosis 2,115.0,115.0,2.0,1.0,115.0,115.0,2,1.0,0.0,0.0
Hypotrichosis 6,54.0,49.0,3.0,1.0,54.0,49.0,3,1.0,0.0,0.0
IMAGe syndrome,252.0,252.0,1.0,1.0,252.0,252.0,1,1.0,0.0,0.0
ITM2B-related cerebral amyloid angiopathy 1,195.5,675.5,12.0,1.0,195.5,675.5,12,1.0,0.0,0.0
Glucosephosphate dehydrogenase deficiency,552.0,552.0,1.0,1.0,552.0,552.0,1,1.0,0.0,0.0
triple-A syndrome,63.0,84.0,3.0,1.0,63.0,84.0,3,1.0,0.0,0.0
Glanzmann's thrombasthenia,830.5,830.5,2.0,1.0,830.5,830.5,2,1.0,0.0,0.0
Familial atrial fibrillation,135.0,230.65714285714284,21.0,1.0,135.0,230.65714285714284,21,1.0,0.0,0.0
Dystonia 16,205.0,205.0,1.0,1.0,205.0,205.0,1,1.0,0.0,0.0
Ectodermal dysplasia and immune deficiency,638.5,638.5,2.0,1.0,638.5,638.5,2,1.0,0.0,0.0
Edwards syndrome,58.0,58.0,1.0,1.0,58.0,58.0,1,1.0,0.0,0.0
Ehlers-Danlos syndrome,79.5,147.92105263157896,21.0,1.0,79.5,147.92105263157896,21,1.0,0.0,0.0
Ellis-Van Creveld syndrome,38.5,38.5,2.0,1.0,38.5,38.5,2,1.0,0.0,0.0
Emery-Dreifuss muscular dystrophy,171.0,343.5,6.0,1.0,171.0,343.5,6,1.0,0.0,0.0
Enfuvirtide-induced Amyloidosis,676.0,1672.25,4.0,1.0,676.0,1672.25,4,1.0,0.0,0.0
Epidermal nevus,767.0,1264.5,6.0,1.0,767.0,1264.5,6,1.0,0.0,0.0
Epidermolysis bullosa dystrophica,208.0,208.0,1.0,1.0,208.0,208.0,1,1.0,0.0,0.0
Epidermolysis bullosa simplex,316.0,300.3333333333333,3.0,1.0,316.0,300.3333333333333,3,1.0,0.0,0.0
Epidermolytic hyperkeratosis,247.0,247.0,2.0,1.0,247.0,247.0,2,1.0,0.0,0.0
Episodic ataxia,153.0,149.8,5.0,1.0,153.0,149.8,5,1.0,0.0,0.0
Episodic kinesigenic dyskinesia 1,120.0,236.66666666666666,6.0,1.0,120.0,236.66666666666666,6,1.0,0.0,0.0
Erdheim-Chester disease,2743.0,2743.0,1.0,1.0,2743.0,2743.0,1,1.0,0.0,0.0
Erythrokeratodermia variabilis,53.5,226.25,4.0,1.0,53.5,226.25,4,1.0,0.0,0.0
Erythromelalgia,203.0,203.0,1.0,1.0,203.0,203.0,1,1.0,0.0,0.0
Essential thrombocythemia,471.0,675.8,5.0,1.0,471.0,675.8,5,1.0,0.0,0.0
Ethylmalonic encephalopathy,53.0,53.0,1.0,1.0,53.0,53.0,1,1.0,0.0,0.0
Ewing sarcoma,181.0,292.375,8.0,1.0,181.0,292.375,8,1.0,0.0,0.0
Exudative vitreoretinopathy,118.0,617.4285714285714,7.0,1.0,118.0,617.4285714285714,7,1.0,0.0,0.0
FG syndrome,227.5,322.5,4.0,1.0,227.5,322.5,4,1.0,0.0,0.0
Fabry disease,295.0,295.0,1.0,1.0,295.0,295.0,1,1.0,0.0,0.0
Facioscapulohumeral muscular dystrophy,160.5,160.5,2.0,1.0,160.5,160.5,2,1.0,0.0,0.0
Factor V deficiency,1343.0,1343.0,1.0,1.0,1343.0,1343.0,1,1.0,0.0,0.0
Factor VII deficiency,483.0,483.0,1.0,1.0,483.0,483.0,1,1.0,0.0,0.0
Factor X deficiency,320.0,320.0,1.0,1.0,320.0,320.0,1,1.0,0.0,0.0
Gitelman syndrome,116.5,116.5,2.0,1.0,116.5,116.5,2,1.0,0.0,0.0
Factor XIII deficiency,220.0,220.0,2.0,1.0,220.0,220.0,2,1.0,0.0,0.0
Familial Mediterranean fever,304.0,284.0,3.0,1.0,304.0,284.0,3,1.0,0.0,0.0
Dystonia 12,154.0,154.0,1.0,1.0,154.0,154.0,1,1.0,0.0,0.0
Dyskeratosis congenita,117.0,325.3636363636364,15.0,1.0,117.0,325.3636363636364,15,1.0,0.0,0.0
Dubin-Johnson syndrome,361.0,361.0,1.0,1.0,361.0,361.0,1,1.0,0.0,0.0
Diamond-Blackfan anemia,231.0,230.82926829268294,25.0,1.0,231.0,230.82926829268294,25,1.0,0.0,0.0
Dent disease,142.5,142.5,2.0,1.0,142.5,142.5,2,1.0,0.0,0.0
