Disease,median_pubmed_filtered,mean_pubmed_filtered,n_genes_with_pubmed_filtered,coverage_filtered,median_pubmed_full,mean_pubmed_full,n_genes_with_pubmed_full,coverage_full,delta_median_full_minus_filtered,delta_mean_full_minus_filtered
Lewy body dementia,2250.0,2598.6,4.0,0.8,2250.0,2598.6,4,0.8,0.0,0.0
Leydig cell hypoplasia,260.0,260.0,1.0,1.0,260.0,260.0,1,1.0,0.0,0.0
Li-Fraumeni syndrome,1692.0,4592.833333333333,4.0,1.0,1692.0,4592.833333333333,4,1.0,0.0,0.0
Medin Amyloidosis,163.0,163.0,1.0,1.0,163.0,163.0,1,1.0,0.0,0.0
Medium chain acyl-CoA dehydrogenase deficiency,164.0,164.0,1.0,1.0,164.0,164.0,1,1.0,0.0,0.0
Meesmann corneal dystrophy,39.0,39.0,2.0,1.0,39.0,39.0,2,1.0,0.0,0.0
Multiple cutaneous and mucosal venous malformations,303.0,303.0,1.0,1.0,303.0,303.0,1,1.0,0.0,0.0
Moyamoya disease,227.0,227.0,1.0,1.0,227.0,227.0,1,1.0,0.0,0.0
Mucolipidosis II alpha/beta,81.0,81.0,1.0,1.0,81.0,81.0,1,1.0,0.0,0.0
Mucolipidosis III alpha/beta,81.0,81.0,1.0,1.0,81.0,81.0,1,1.0,0.0,0.0
Mucolipidosis III gamma,50.0,50.0,1.0,1.0,50.0,50.0,1,1.0,0.0,0.0
Mucolipidosis type IV,133.0,133.0,1.0,1.0,133.0,133.0,1,1.0,0.0,0.0
Mucopolysaccharidosis,84.5,78.57142857142857,14.0,1.0,84.5,76.95454545454545,14,1.0,0.0,-1.6168831168831161
Mucopolysaccharidosis I,97.0,97.0,1.0,1.0,97.0,97.0,1,1.0,0.0,0.0
Mucopolysaccharidosis II,116.0,116.0,1.0,1.0,116.0,116.0,1,1.0,0.0,0.0
Mucopolysaccharidosis III,52.0,50.75,4.0,1.0,52.0,50.75,4,1.0,0.0,0.0
Mucopolysaccharidosis VI,85.0,85.0,1.0,1.0,85.0,85.0,1,1.0,0.0,0.0
Mucosulfatidosis,57.0,57.0,1.0,1.0,57.0,57.0,1,1.0,0.0,0.0
Muenke Syndrome,615.0,615.0,1.0,1.0,615.0,615.0,1,1.0,0.0,0.0
Mullerian aplasia and hyperandrogenism,125.0,125.0,1.0,1.0,125.0,125.0,1,1.0,0.0,0.0
Multiple acyl-CoA dehydrogenase deficiency,104.0,104.75,4.0,1.0,104.0,104.75,4,1.0,0.0,0.0
Multiple endocrine neoplasia type 2A,289.5,353.1666666666667,6.0,1.0,289.5,353.1666666666667,6,1.0,0.0,0.0
Megalencephalic leukoencephalopathy with subcortical cysts,70.5,70.5,2.0,1.0,70.5,70.5,2,1.0,0.0,0.0
