Disease,dataset,n_genes_total,n_genes_with_pubmed,coverage_pubmed,median_pubmed,mean_pubmed,p90_pubmed,gini_pubmed,median_rank,frac_in_top500,frac_in_top2000,frac_in_top10000,top_genes
Sphingolipidosis,knowledge_full,14,13,0.9285714285714286,149.0,149.65217391304347,237.80000000000004,0.23563145794911958,3064.0,0.0,0.13043478260869565,1.0,GLA(295); NPC1(249); NPC1(249); SMPD1(193); SMPD1(193)
ICD10:E753,knowledge_full,14,13,0.9285714285714286,149.0,149.65217391304347,237.80000000000004,0.23563145794911958,3064.0,0.0,0.13043478260869565,1.0,GLA(295); NPC1(249); NPC1(249); SMPD1(193); SMPD1(193)
ICD10:E80,knowledge_full,12,12,1.0,149.0,320.7692307692308,750.0,0.500571850212138,3077.0,0.23076923076923078,0.38461538461538464,1.0,HFE(1001); UGT1A1(750); UGT1A1(750); CAT(482); ABCC2(361)
Congenital dyserythropoietic anemia,knowledge_full,9,8,0.8888888888888888,149.0,191.53846153846155,210.0,0.4194624652455978,3069.0,0.07692307692307693,0.07692307692307693,0.8461538461538461,HBB(871); RACGAP1(210); RACGAP1(210); KIF23(177); KIF23(177)
ICD10:D644,knowledge_full,9,8,0.8888888888888888,149.0,191.53846153846155,210.0,0.4194624652455978,3069.0,0.07692307692307693,0.07692307692307693,0.8461538461538461,HBB(871); RACGAP1(210); RACGAP1(210); KIF23(177); KIF23(177)
Hereditary elliptocytosis,knowledge_full,8,8,1.0,149.0,147.625,234.2,0.33202794242167655,3116.5,0.0,0.125,0.75,SLC4A1(321); EPB41(197); ACSL4(186); SPTA1(164); SPTB(134)
ICD10:D581,knowledge_full,8,8,1.0,149.0,147.625,234.2,0.33202794242167655,3116.5,0.0,0.125,0.75,SLC4A1(321); EPB41(197); ACSL4(186); SPTA1(164); SPTB(134)
Metachromatic leukodystrophy,knowledge_full,4,4,1.0,149.0,135.66666666666666,187.0,0.19574119574119578,3064.0,0.0,0.0,1.0,PSAP(187); PSAP(187); ARSA(149); ARSA(149); ARSB(85)
Wolff-Parkinson-White syndrome,knowledge_full,1,1,1.0,149.0,149.0,149.0,0.0,3063.0,0.0,0.0,1.0,PRKAG2(149)
ICD10:I456,knowledge_full,1,1,1.0,149.0,149.0,149.0,0.0,3063.0,0.0,0.0,1.0,PRKAG2(149)
Isolated elevated serum creatine phosphokinase levels,knowledge_full,1,1,1.0,149.0,149.0,149.0,0.0,3061.0,0.0,0.0,1.0,CAV3(149)
Alstrom syndrome,knowledge_full,1,1,1.0,149.0,149.0,149.0,0.0,3065.0,0.0,0.0,1.0,ALMS1(149)
ICD10:K,knowledge_full,147,147,1.0,148.0,506.44198895027625,1107.0,0.7289876422607031,3081.0,0.19337016574585636,0.3756906077348066,0.8232044198895028,TP53(11608); EGFR(6674); STAT3(3689); IL10(3485); BRCA1(3448)
Microcephalic osteodysplastic primordial dwarfism type II,knowledge_full,1,1,1.0,148.0,148.0,148.0,0.0,3090.0,0.0,0.0,1.0,PCNT(148)
Disease of mental health,knowledge_full,138,135,0.9782608695652174,147.5,540.474358974359,2073.0,0.6886860046359061,3099.0,0.2564102564102564,0.391025641025641,0.9230769230769231,TNF(6439); APOE(5224); AKT1(3744); APP(3187); HLA-DRB1(2868)
Omenn syndrome,knowledge_full,6,6,1.0,147.0,177.33333333333334,281.5,0.2478070175438596,3148.5,0.0,0.3333333333333333,1.0,IL7R(349); LIG4(214); RAG1(157); CARD11(137); RAG2(105)
GNE myopathy,knowledge_full,1,1,1.0,147.0,147.0,147.0,0.0,3125.0,0.0,0.0,1.0,GNE(147)
Sialuria,knowledge_full,1,1,1.0,147.0,147.0,147.0,0.0,3125.0,0.0,0.0,1.0,GNE(147)
Cutis laxa,knowledge_full,12,12,1.0,146.5,148.91666666666666,210.4,0.23255922402536836,3175.0,0.0,0.16666666666666666,1.0,ELN(311); ATP7A(214); ATP6AP2(178); ALDH18A1(172); ATP6V1A(164)
